Date,SPX,NWL,MSFT,SPX Rtn,NWL Rtn,MSFT Rtn
5/15/06,1267.03,213.45,22.17,-0.018749419,0.001266535,-0.022486772
5/22/06,1280.16,229.19,23.31,0.010362817,0.073740923,0.051420839
5/30/06,1288.22,231.16,22.37,0.006296088,0.008595488,-0.04032604
6/5/06,1252.3,222.04,21.54,-0.027883436,-0.039453193,-0.037103263
6/12/06,1251.54,223.87,21.72,-0.000606883,0.008241758,0.008356546
6/19/06,1244.5,224.67,22.11,-0.00562507,0.003573502,0.017955801
6/26/06,1270.2,239.29,22.9,0.020650864,0.065073218,0.035730439
7/3/06,1265.48,232.01,22.9,-0.00371595,-0.030423336,0
7/10/06,1236.2,224.67,21.91,-0.023137466,-0.031636567,-0.043231441
7/17/06,1240.29,225.76,23.46,0.003308526,0.00485156,0.070743953
7/24/06,1278.55,228.36,23.83,0.030847624,0.011516655,0.015771526
7/31/06,1279.36,229.66,23.87,0.00063353,0.005692766,0.001678556
8/7/06,1266.74,222.67,24.01,-0.009864307,-0.030436297,0.005865103
8/14/06,1302.3,225.61,25.44,0.028072059,0.013203395,0.059558517
8/21/06,1295.09,223.87,25.5,-0.005536359,-0.007712424,0.002358491
8/28/06,1311.01,229.69,25.49,0.012292582,0.025997231,-0.000392157
9/5/06,1298.92,226.87,25.25,-0.009221898,-0.012277417,-0.009415457
9/11/06,1319.66,231.65,26.49,0.015967111,0.021069335,0.049108911
9/18/06,1314.78,229.66,26.3,-0.003697922,-0.008590546,-0.007172518
9/25/06,1335.85,229.55,26.98,0.016025495,-0.000478969,0.025855513
10/2/06,1349.59,227.56,27.49,0.010285586,-0.008669135,0.018902891
10/9/06,1365.62,228.36,27.99,0.011877681,0.003515556,0.018188432
10/16/06,1368.6,241.64,28.05,0.002182159,0.058153792,0.002143623
10/23/06,1377.34,231.5,27.96,0.006386088,-0.041963251,-0.003208556
10/30/06,1364.3,232.51,28.34,-0.009467524,0.004362851,0.013590844
11/6/06,1380.9,234.4,28.84,0.012167412,0.008128683,0.017642908
11/13/06,1401.2,242.6,29.1,0.014700558,0.034982935,0.009015257
11/20/06,1400.95,235.9,29.46,-0.000178418,-0.027617477,0.012371134
11/27/06,1396.71,224.05,28.82,-0.003026518,-0.05023315,-0.021724372
12/4/06,1409.84,230.44,29.1,0.009400663,0.02852042,0.009715475
